Year,Pesticide Type,Usage
2020,Fungicides and Bactericides,1181.4
2021,Fungicides and Bactericides,1206.6
2022,Fungicides and Bactericides,1241.4
2000,Fungicides and Bactericides,3056.0
2001,Fungicides and Bactericides,2302.0
2002,Fungicides and Bactericides,2610.0
2003,Fungicides and Bactericides,2351.0
2004,Fungicides and Bactericides,2417.0
2005,Fungicides and Bactericides,2444.0
2006,Fungicides and Bactericides,2670.41
2007,Fungicides and Bactericides,2896.83
2008,Fungicides and Bactericides,3109.43
2009,Fungicides and Bactericides,2686.63
2010,Fungicides and Bactericides,1812.5
2011,Fungicides and Bactericides,2408.17
2012,Fungicides and Bactericides,2639.77
2013,Fungicides and Bactericides,2453.22
2014,Fungicides and Bactericides,3173.46
2015,Fungicides and Bactericides,2635.85
2016,Fungicides and Bactericides,2908.67
2017,Fungicides and Bactericides,2530.83
2018,Fungicides and Bactericides,2487.61
2019,Fungicides and Bactericides,2469.63
2020,Fungicides and Bactericides,2213.17
2021,Fungicides and Bactericides,1999.0
2022,Fungicides and Bactericides,1688.9
1990,Fungicides and Bactericides,2788.0
1991,Fungicides and Bactericides,2788.0
1992,Fungicides and Bactericides,2788.0
1993,Fungicides and Bactericides,2788.0
1994,Fungicides and Bactericides,2285.0
1995,Fungicides and Bactericides,2660.0
1996,Fungicides and Bactericides,2403.0
1997,Fungicides and Bactericides,2673.0
1998,Fungicides and Bactericides,2653.8
1999,Fungicides and Bactericides,2989.8
1990,Fungicides and Bactericides,94.0
1991,Fungicides and Bactericides,76.0
1992,Fungicides and Bactericides,119.0
1993,Fungicides and Bactericides,143.5
1994,Fungicides and Bactericides,168.0
1995,Fungicides and Bactericides,192.5
1996,Fungicides and Bactericides,217.0
1997,Fungicides and Bactericides,241.5
1998,Fungicides and Bactericides,266.0
1999,Fungicides and Bactericides,161.0
2000,Fungicides and Bactericides,110.0
2001,Fungicides and Bactericides,155.0
2002,Fungicides and Bactericides,158.72
2003,Fungicides and Bactericides,162.44
2004,Fungicides and Bactericides,166.15
2005,Fungicides and Bactericides,169.87
2006,Fungicides and Bactericides,173.59
2007,Fungicides and Bactericides,201.63
2008,Fungicides and Bactericides,234.61
2009,Fungicides and Bactericides,163.47
2010,Fungicides and Bactericides,198.22
2011,Fungicides and Bactericides,141.2
2012,Fungicides and Bactericides,102.29
2013,Fungicides and Bactericides,178.01
2014,Fungicides and Bactericides,216.21
2015,Fungicides and Bactericides,184.09
2016,Fungicides and Bactericides,262.62
2017,Fungicides and Bactericides,158.79
2018,Fungicides and Bactericides,189.15
2019,Fungicides and Bactericides,221.76
2020,Fungicides and Bactericides,201.05
2021,Fungicides and Bactericides,241.02
2022,Fungicides and Bactericides,316.32
1990,Fungicides and Bactericides,401.45
1991,Fungicides and Bactericides,392.41
1992,Fungicides and Bactericides,370.12
1993,Fungicides and Bactericides,333.26
1994,Fungicides and Bactericides,466.47
1995,Fungicides and Bactericides,512.03
1996,Fungicides and Bactericides,484.7
1997,Fungicides and Bactericides,271.18
1998,Fungicides and Bactericides,292.35
1999,Fungicides and Bactericides,297.91
2000,Fungicides and Bactericides,296.78
2001,Fungicides and Bactericides,221.25
2002,Fungicides and Bactericides,229.86
2003,Fungicides and Bactericides,224.96
2004,Fungicides and Bactericides,181.11
2005,Fungicides and Bactericides,170.86
2006,Fungicides and Bactericides,265.98
2007,Fungicides and Bactericides,486.02
