Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Eswatini,741.5600000000001,741.56,741.56,741.58,741.5699999999999,741.5799999999999,741.5699999999999,692.74,680.5899999999999,566.75,551.51,452.65999999999997,757.61,962.56,1262.12,1091.99,847.79,438.26,199.05,185.24,484.39,587.21,581.59,462.21000000000004,522.76,582.0600000000001,680.43,863.4399999999999,1039.6,1148.1599999999999,1238.7,1344.6,1397.56
Ethiopia,,,,242.0,242.0,242.0,383.0,383.0,383.0,492.5,602.0,630.0,822.67,1015.35,1208.02,1400.7,2603.1,2593.9,2270.6,3699.2000000000003,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999,4128.099999999999
Ethiopia PDR,1275.3,1037.31,366.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),2.68,2.68,2.64,2.5500000000000003,2.39,2.26,2.13,1.97,1.84,1.7,1.57,1.4300000000000002,1.3,1.1600000000000001,1.02,0.87,0.74,0.6,0.46,0.37,0.32999999999999996,0.32999999999999996,0.32,0.32,0.32,0.32999999999999996,0.32999999999999996,0.32999999999999996,0.32,0.32,0.32,0.32,0.32
Faroe Islands,18.560000000000002,22.66,22.78,21.71,21.78,22.049999999999997,21.99,22.73,21.6,20.81,20.1,19.57,19.14,18.94,18.63,18.47,18.32,18.26,18.35,18.240000000000002,18.31,18.6,18.64,18.73,19.07,19.229999999999997,21.43,21.56,20.98,22.25,23.32,23.32,23.32
Fiji,125.75,676.34,115.81,137.57,159.33,181.09,202.85000000000002,224.60999999999999,246.38,268.14,289.90000000000003,311.65999999999997,333.41999999999996,355.18,376.95,398.71,420.46999999999997,442.23,463.99,557.62,602.35,579.86,647.28,578.65,762.27,687.3,612.35,612.35,612.35,612.35,612.35,612.35,612.35
Finland,4254.58,3756.54,4054.17,4103.38,3970.65,2368.26,2485.12,3128.15,4053.56,4180.639999999999,3608.08,4077.46,4731.01,4735.83,4765.83,4956.24,5254.09,4064.95,3806.2,4804.83,3806.97,4043.94,4283.01,3274.86,3488.27,3991.06,4591.6,4365.9,4901.63,4034.1600000000003,4916.95,4099.76,3327.28
France,97701.0,103434.0,85249.0,91953.0,89515.0,84011.0,97890.0,109792.0,107753.0,114695.0,97878.0,99694.0,82448.0,74531.0,76099.0,78265.0,71612.0,77255.0,78577.0,63676.0,61903.0,61351.9,63844.29,66757.42,74873.62000000001,66629.34,72076.24,70458.87,83983.13,54303.71,64789.22,69697.52,67874.94
French Polynesia,209.76000000000002,219.07,239.08,255.91,268.9,272.83,287.09,300.53999999999996,312.87,311.73,323.57,332.09,354.59000000000003,344.32,336.27,324.07,331.7,331.03,326.08,310.4,306.27,311.04,322.43,348.12,383.90000000000003,400.77,393.86,373.93,367.35,39.0,45.56,51.839999999999996,22.6
Gabon,195.57999999999998,206.88,234.73000000000002,282.61,328.92,368.44,398.6,416.15999999999997,390.75,368.51,349.46999999999997,330.0,263.88,247.7,362.14,506.83,592.43,559.67,522.02,714.75,817.97,899.4599999999999,803.57,936.1,944.11,1098.17,1105.6299999999999,1327.86,1203.3,1143.68,1058.82,1130.41,1166.19
Gambia,112.0,112.00000000000001,112.00999999999999,112.00999999999999,159.69,190.33,229.88,233.93,229.84000000000003,238.85999999999999,222.83,238.04,261.91,388.06,597.62,865.94,797.4399999999999,671.86,390.23,287.89,260.16999999999996,262.40999999999997,374.39,355.48,366.71,344.28999999999996,407.89,441.88000000000005,541.6700000000001,500.98,418.1,261.44,183.11999999999998
Georgia,,,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,3081.1,1350.99,1481.03,1738.19,2237.2599999999998,2563.75,2862.5,2485.1,2718.6
